name,year,fall,mass,reclat,reclong
Estherville,1879.0,Fell,320000.0,43.41667,-94.83333
Farmington,1890.0,Fell,89400.0,39.75,-97.03333
Farmville,1934.0,Fell,56000.0,35.55,-77.53333
Favars,1844.0,Fell,1500.0,44.38333,2.81667
Fayetteville,1934.0,Fell,2360.0,36.05,-94.16667
Feid Chair,1875.0,Fell,380.0,36.88333,8.45
Felix,1900.0,Fell,3200.0,32.53333,-87.16667
Fenghsien-Ku,1924.0,Fell,82.0,34.6,116.75
Ferguson,1889.0,Fell,220.0,36.1,-81.41667
Fermo,1996.0,Fell,10200.0,43.18111,13.75333
Fisher,1894.0,Fell,17600.0,47.81667,-96.85
Florence,1922.0,Fell,3640.0,30.83333,-97.76667
Forest City,1890.0,Fell,152000.0,43.25,-93.66667
Forest Vale,1942.0,Fell,26000.0,-33.35,146.85833
Forksville,1924.0,Fell,6067.0,36.78333,-78.08333
Forsbach,1900.0,Fell,240.0,50.95,7.31667
Forsyth,1829.0,Fell,16300.0,33.01667,-83.96667
Fort Flatters,1944.0,Fell,,28.25,7.0
Frankfort (stone),1868.0,Fell,650.0,34.48333,-87.83333
Fuhe,1945.0,Fell,23000.0,31.47556,113.56694
Fukutomi,1882.0,Fell,11620.0,33.18333,130.2
Fünen,1654.0,Fell,,55.33333,10.33333
Futtehpur,1822.0,Fell,4000.0,25.95,80.81667
Fuyang,1977.0,Fell,2500.0,32.9,115.9
Galapian,1826.0,Fell,132.7,44.3,0.4
Galim (a),1952.0,Fell,36.1,7.05,12.43333
Galim (b),1952.0,Fell,28.0,7.05,12.43333
Galkiv,1995.0,Fell,5000.0,51.68333,30.78333
Gambat,1897.0,Fell,6400.0,27.35,68.53333
Gao-Guenie,1960.0,Fell,,11.65,-2.18333
Garhi Yasin,1917.0,Fell,380.0,27.88333,68.53333
Garland,1950.0,Fell,102.0,41.68333,-112.13333
Gashua,1984.0,Fell,4162.0,12.85,11.03333
Gasseltepaoua,2000.0,Fell,,14.15083,-2.04167
Geidam,1950.0,Fell,725.0,12.91667,11.91667
Gifu,1909.0,Fell,14290.0,35.53333,136.88333
Girgenti,1853.0,Fell,18000.0,37.31667,13.56667
Git-Git,1947.0,Fell,480.0,9.6,9.91667
Glanerbrug,1990.0,Fell,670.0,52.2,6.86667
Glanggang,1939.0,Fell,1303.0,-7.25,107.7
Glasatovo,1918.0,Fell,152000.0,57.35,37.61667
Glatton,1991.0,Fell,767.0,52.45972,-0.3
Gnadenfrei,1879.0,Fell,1750.0,50.66667,16.76667
Gopalpur,1865.0,Fell,1600.0,24.23333,89.05
Gorlovka,1974.0,Fell,3618.0,48.28333,38.08333
Granes,1964.0,Fell,9000.0,42.9,2.25
Grefsheim,1976.0,Fell,45.5,60.66667,11.0
Grimsby,2009.0,Fell,215.0,43.2,-79.61667
Grosnaja,1861.0,Fell,3500.0,43.66667,45.38333
Gross-Divina,1837.0,Fell,10500.0,49.26667,18.71667
Grossliebenthal,1881.0,Fell,8000.0,46.35,30.58333
Grüneberg,1841.0,Fell,1000.0,51.93333,15.5
Grzempach,1910.0,Fell,690.0,52.86667,16.63333
Gualeguaychú,1932.0,Fell,22000.0,-33.0,-58.61667
Guangmingshan,1996.0,Fell,2910.0,39.80417,122.76389
Guangnan,1983.0,Fell,,24.1,105.0
Guangrao,1980.0,Fell,1900.0,37.1,118.4
Guareña,1892.0,Fell,39000.0,38.73333,-6.01667
Guêa,1891.0,Fell,1915.0,43.76667,20.23333
Guibga,1972.0,Fell,288.0,13.5,-0.68333
Guidder,1949.0,Fell,968.0,9.91667,13.98333
Gujargaon,1982.0,Fell,2449.0,22.98333,76.05
Gujba,1984.0,Fell,100000.0,11.49167,11.65833
Gumoschnik,1904.0,Fell,5700.0,42.9,24.7
Gurram Konda,1814.0,Fell,28.0,13.78333,78.56667
Gursum,1981.0,Fell,34650.0,9.36667,42.41667
Gütersloh,1851.0,Fell,1000.0,51.91667,8.38333
Gyokukei,1930.0,Fell,1320.0,35.0,127.5
Hachi-oji,1817.0,Fell,0.2,35.65,139.33333
Hainaut,1934.0,Fell,9000.0,50.31667,3.73333
Hallingeberg,1944.0,Fell,1456.0,57.81667,16.23333
Hamlet,1959.0,Fell,3710.0,41.38333,-86.6
Haraiya,1878.0,Fell,1000.0,26.8,82.53333
Haripura,1921.0,Fell,315.0,28.38333,75.78333
Harleton,1961.0,Fell,8360.0,32.675,-94.51167
Harrison County,1859.0,Fell,680.0,38.25,-86.16667
Hashima,1910.0,Fell,1110.6,35.2945,136.70033
Hassi-Jekna,1890.0,Fell,1250.0,28.95,0.81667
Hatford,1628.0,Fell,29000.0,51.65,-1.51667
Haverö,1971.0,Fell,1544.0,60.24556,22.06194
Hedeskoga,1922.0,Fell,3500.0,55.46667,13.78333
Hedjaz,1910.0,Fell,6100.0,27.33333,35.66667
Heredia,1857.0,Fell,1000.0,10.0,-84.1
Hessle,1869.0,Fell,20000.0,59.85,17.66667
Higashi-koen,1897.0,Fell,750.0,33.6,130.43333
High Possil,1804.0,Fell,4500.0,55.9,-4.23333
Hiroshima,2003.0,Fell,414.0,34.45,132.38333
Hoima,2003.0,Fell,167.7,1.345,31.47278
Hökmark,1954.0,Fell,305.5,64.43333,21.2
Holbrook,1912.0,Fell,220000.0,34.9,-110.18333
Holetta,1923.0,Fell,1415.0,9.06667,38.41667
Homestead,1875.0,Fell,230000.0,41.8,-91.86667
Honolulu,1825.0,Fell,2420.0,21.3,-157.86667
Hotse,1956.0,Fell,180.0,35.66667,115.5
Hoxie,1963.0,Fell,266.1,39.35,-100.45
Hraschina,1751.0,Fell,49000.0,46.1,16.33333
Huaxi,2010.0,Fell,1600.0,26.46469,106.63241
Hungen,1877.0,Fell,112.0,50.3,8.91667
Hvittis,1901.0,Fell,14000.0,61.18333,22.68333
Ibbenbüren,1870.0,Fell,2000.0,52.28333,7.7
Ibitira,1957.0,Fell,2500.0,-20.0,-45.0
Ibrisim,1949.0,Fell,,38.0,35.0
Ichkala,1936.0,Fell,3973.0,58.2,82.93333
Idutywa,1956.0,Fell,3457.0,-32.1,28.33333
Iguaracu,1977.0,Fell,1200.0,-23.2,-51.83333
Ijopega,1975.0,Fell,7330.0,-6.03333,145.36667
Indarch,1891.0,Fell,27000.0,39.75,46.66667
Independence,1917.0,Fell,880.0,39.08333,-94.4
Inner Mongolia,1963.0,Fell,3000.0,41.0,112.0
Innisfree,1977.0,Fell,4576.0,53.415,-111.3375
Ipiranga,1972.0,Fell,7000.0,-25.5,-54.5
Ishinga,1954.0,Fell,1300.0,-8.93333,33.8
Isthilart,1928.0,Fell,3050.0,-31.18333,-57.95
Itapicuru-Mirim,1879.0,Fell,2024.0,-3.4,-44.33333
Itqiy,1990.0,Fell,4720.0,26.59083,-12.95217
Ivuna,1938.0,Fell,704.5,-8.41667,32.43333
Jackalsfontein,1903.0,Fell,48000.0,-32.5,21.9
Jajh deh Kot Lalu,1926.0,Fell,973.0,26.75,68.41667
Jalanash,1990.0,Fell,700.0,,
Jalandhar,1621.0,Fell,1967.0,31.0,75.0
Jamkheir,1866.0,Fell,22.0,18.75,75.33333
Jartai,1979.0,Fell,20500.0,39.7,105.8
Jelica,1889.0,Fell,34000.0,43.83333,20.44167
Jemlapur,1901.0,Fell,450.0,,
Jesenice,2009.0,Fell,3667.0,46.42137,14.05217
Jhung,1873.0,Fell,5900.0,31.3,72.38333
Jiange,1964.0,Fell,222.0,31.91667,104.91667
Jianshi,1890.0,Fell,600000.0,30.80833,109.5
Jilin,1976.0,Fell,4000000.0,44.05,126.16667
Jodiya,2006.0,Fell,100.0,22.68,70.31333
Jodzie,1877.0,Fell,30.0,55.7,24.4
Johnstown,1924.0,Fell,40300.0,40.35,-104.9
Jolomba,1974.0,Fell,483.0,-11.85,15.83333
Jonzac,1819.0,Fell,5000.0,45.43333,-0.45
Juancheng,1997.0,Fell,100000.0,35.5,115.41667
Judesegeri,1876.0,Fell,680.0,12.85,76.8
Jumapalo,1984.0,Fell,32490.0,-7.71667,111.2
Junan,1976.0,Fell,950.0,35.2,118.8
Juromenha,1968.0,Fell,25250.0,38.74028,-7.27
Juvinas,1821.0,Fell,91000.0,44.71667,4.3
Kaba,1857.0,Fell,3000.0,47.35,21.3
Kabo,1971.0,Fell,13400.0,11.85,8.21667
Kadonah,1822.0,Fell,89.0,27.08333,78.33333
Kaee,1838.0,Fell,230.0,27.25,79.96667
Kagarlyk,1908.0,Fell,1900.0,49.86667,30.83333
Kaidun,1980.0,Fell,2000.0,15.0,48.3
Kainsaz,1937.0,Fell,200000.0,55.43333,53.25
Kakangari,1890.0,Fell,350.0,12.38333,78.51667
Kakowa,1858.0,Fell,577.0,45.13333,21.66667
Kalaba,1951.0,Fell,950.0,-6.83333,29.5
Kalumbi,1879.0,Fell,4500.0,17.83333,73.98333
Kamalpur,1942.0,Fell,2770.0,26.03333,81.46667
Kamiomi,1913.0,Fell,448.0,36.04167,139.95667
Kamsagar,1902.0,Fell,1293.0,14.18333,75.8
Kandahar (Afghanistan),1959.0,Fell,299.0,31.6,65.78333
Kangean,1908.0,Fell,1630.0,-7.0,115.5
Kangra Valley,1897.0,Fell,400.0,32.08333,76.3
Kapoeta,1942.0,Fell,11355.0,4.7,33.63333
Kaprada,2004.0,Fell,1600.0,20.33916,73.22329
Kaptal-Aryk,1937.0,Fell,3500.0,42.45,73.36667
Karakol,1840.0,Fell,3000.0,47.21667,81.01667
Karatu,1963.0,Fell,2220.0,-3.5,35.58333
Karewar,1949.0,Fell,180.0,12.9,7.15
Karkh,1905.0,Fell,22000.0,27.8,67.16667
Karloowala,1955.0,Fell,2950.0,31.58333,71.6
Karoonda,1930.0,Fell,41730.0,-35.08333,139.91667
Kasamatsu,1938.0,Fell,710.0,35.36667,136.76667
Kasauli,2003.0,Fell,16820.0,29.58333,77.58333
Katagum,1999.0,Fell,1500.0,11.33333,10.08333
Kavarpura,2006.0,Fell,6800.0,25.14333,75.81333
Kayakent,1961.0,Fell,85000.0,39.26333,31.78
Kediri,1940.0,Fell,3300.0,-7.75,112.01667
Kemer,2008.0,Fell,5760.0,36.54194,29.41822
Kendleton,1939.0,Fell,6937.0,29.45,-96.0
Kendrapara,2003.0,Fell,6669.2,20.4625,86.70278
Kerilis,1874.0,Fell,5000.0,48.4,-3.3
Kernouve,1869.0,Fell,80000.0,48.11667,-3.08333
Kesen,1850.0,Fell,135000.0,38.98333,141.61667
Khairpur,1873.0,Fell,13600.0,29.53333,72.3
Khanpur,1932.0,Fell,3698.0,25.55,83.11667
