Residential,Commercial,Industrial,Total,dates
2888600.0,3086800.0,2772100.0,8765900.0,2003-11-01
,3157100.0,2654400.0,9478600.0,2003-12-01
4100700.0,3202600.0,2607200.0,9930900.0,2004-01-01
3878100.0,3230300.0,2747156.0,9877000.0,2004-02-01
3191800.0,3075200.0,2688000.0,8973600.0,2004-03-01
2845900.0,3117700.0,2779000.0,8761700.0,2004-04-01
2922500.0,3254200.0,2806100.0,,2004-05-01
3744500.0,3604100.0,2891075.0,10259000.0,2004-06-01
4171100.0,3725700.0,2854200.0,10771000.0,2004-07-01
,3692016.0,2885200.0,,2004-08-01
3744600.0,3653200.0,2867300.0,10286000.0,2004-09-01
3015000.0,3300800.0,2753100.0,9088300.0,2004-10-01
2988300.0,3191800.0,2806400.0,9005400.0,2004-11-01
3676014.0,3266500.0,2691800.0,9679000.0,2004-12-01
4041500.0,3228800.0,2652600.0,9970300.0,2005-01-01
3809500.0,3305400.0,2818386.0,9982600.0,2005-02-01
3356900.0,3163600.0,2682600.0,9251300.0,2005-03-01
2891600.0,3125300.0,2745600.0,8805600.0,2005-04-01
2818800.0,3198700.0,2768600.0,8822600.0,2005-05-01
3887600.0,3775300.0,2933600.0,10646000.0,2005-06-01
4660527.0,3905900.0,2850300.0,11468198.0,2005-07-01
4738900.0,3983100.0,2919800.0,11695000.0,2005-08-01
,3855900.0,2907900.0,11031000.0,2005-09-01
3312400.0,3475200.0,2768900.0,9600800.0,2005-10-01
3056200.0,3269500.0,2783100.0,9152800.0,2005-11-01
3876700.0,3317400.0,2675900.0,9914300.0,2005-12-01
3884500.0,3288200.0,2640800.0,9834400.0,2006-01-01
3732500.0,3418300.0,2864500.0,10037000.0,2006-02-01
3385700.0,3261800.0,2685900.0,9353900.0,2006-03-01
2979100.0,3218400.0,2723200.0,8940300.0,2006-04-01
3032300.0,3433600.0,2780000.0,9264500.0,2006-05-01
3960500.0,3859500.0,2887700.0,10728000.0,2006-06-01
4752800.0,4049700.0,2867100.0,11690000.0,2006-07-01
4840800.0,4117900.0,2912400.0,11891000.0,2006-08-01
3869100.0,3807700.0,2878800.0,10576000.0,2006-09-01
3104700.0,3516100.0,2752800.0,9393100.0,2006-10-01
3161400.0,3370100.0,2688400.0,9239400.0,2006-11-01
3705900.0,3376500.0,2578600.0,9681300.0,2006-12-01
4041500.0,3440900.0,2657600.0,10165000.0,2007-01-01
4338000.0,3598400.0,2799700.0,10762000.0,2007-02-01
3409500.0,3311000.0,2664000.0,9408400.0,2007-03-01
3009400.0,3368400.0,2778700.0,9178000.0,2007-04-01
3109300.0,3501900.0,2814200.0,9445200.0,2007-05-01
3913900.0,3911700.0,2919100.0,10767000.0,2007-06-01
4484700.0,3997500.0,2871500.0,,2007-07-01
4842000.0,4208900.0,2971500.0,12044000.0,2007-08-01
4317100.0,3996600.0,2914300.0,11251000.0,2007-09-01
,3692900.0,2867600.0,9928500.0,2007-10-01
3196800.0,3486800.0,2837300.0,9543300.0,2007-11-01
3787400.0,3416400.0,2700800.0,9925900.0,2007-12-01
4302200.0,,2680300.0,10523000.0,2008-01-01
4088100.0,3599900.0,,10521000.0,2008-02-01
3456900.0,3333400.0,2693500.0,9504000.0,2008-03-01
3072200.0,3382900.0,2789900.0,9265400.0,2008-04-01
2975700.0,3466900.0,2837500.0,9299200.0,2008-05-01
4045900.0,3979100.0,2907500.0,,2008-06-01
4618700.0,4131356.0,2855700.0,11627000.0,2008-07-01
4466400.0,4006300.0,2856500.0,11350000.0,2008-08-01
3902600.0,3943000.0,2863700.0,10730000.0,2008-09-01
3100300.0,3575800.0,2715000.0,9411700.0,2008-10-01
3192200.0,3413800.0,2651300.0,9277700.0,2008-11-01
4038600.0,3457600.0,2447400.0,9965000.0,2008-12-01
4394500.0,3536900.0,,10375000.0,2009-01-01
4114700.0,3536100.0,2548500.0,10223000.0,2009-02-01
3435500.0,3305100.0,2392600.0,9155100.0,2009-03-01
3054400.0,3326800.0,2447200.0,8848800.0,2009-04-01
3042300.0,3393900.0,2424200.0,8879900.0,2009-05-01
3813200.0,3827700.0,2522700.0,10184000.0,2009-06-01
4435400.0,3913600.0,2528700.0,10899000.0,2009-07-01
4458800.0,3992800.0,2651600.0,11124000.0,2009-08-01
3838800.0,3830000.0,2662100.0,10352000.0,2009-09-01
3179100.0,3500400.0,2562900.0,9261800.0,2009-10-01
3100900.0,3296700.0,2521300.0,8938600.0,2009-11-01
4000400.0,3499300.0,2487600.0,10009000.0,2009-12-01
4758100.0,3487800.0,2437100.0,10706000.0,2010-01-01
4387200.0,3598100.0,2649700.0,10659000.0,2010-02-01
3606100.0,3282300.0,2526400.0,9435850.0,2010-03-01
2934900.0,3326300.0,2620700.0,8901700.0,2010-04-01
3059500.0,3424900.0,2648800.0,9152600.0,2010-05-01
4249900.0,3979500.0,2778700.0,11030000.0,2010-06-01
4990000.0,4126600.0,2765900.0,11904000.0,2010-07-01
4969500.0,4166700.0,2836357.0,11993000.0,2010-08-01
4152800.0,3971200.0,2779700.0,10925000.0,2010-09-01
3119000.0,3498700.0,2647800.0,9285200.0,2010-10-01
3105538.0,3384000.0,2653800.0,9163300.0,2010-11-01
4194000.0,3484700.0,2590800.0,10292000.0,2010-12-01
4679400.0,3492000.0,2583641.0,10778000.0,2011-01-01
4289600.0,3564100.0,2727200.0,10604000.0,2011-02-01
3384600.0,3363131.0,2651900.0,9421000.0,2011-03-01
3123400.0,3350200.0,2678900.0,9173500.0,2011-04-01
3151300.0,3471800.0,2647100.0,,2011-05-01
4199400.0,3939000.0,2797100.0,10956911.0,2011-06-01
4991300.0,4131100.0,2814400.0,11958000.0,2011-07-01
4959300.0,4173200.0,2870600.0,12023000.0,2011-08-01
4090600.0,3931700.0,2831400.0,10875000.0,2011-09-01
3051100.0,3504800.0,2718800.0,9294600.0,2011-10-01
3107300.0,3351700.0,2695700.0,9174500.0,2011-11-01
3752900.0,3382800.0,2580100.0,9736900.0,2011-12-01
4060700.0,3394800.0,2555000.0,10031464.0,2012-01-01
3723300.0,3451000.0,2699900.0,9895963.0,2012-02-01
3205200.0,3305600.0,2622500.0,9152600.0,2012-03-01
2936800.0,3367900.0,2701000.0,9025300.0,2012-04-01
3254700.0,3574208.0,2731500.0,9579600.0,2012-05-01
4097800.0,3933600.0,2787300.0,10839000.0,2012-06-01
4986400.0,4146300.0,2813500.0,11967000.0,2012-07-01
4772300.0,4132500.0,2842100.0,11767000.0,2012-08-01
3961000.0,3886200.0,2735300.0,,2012-09-01
3118400.0,3563581.0,2677300.0,,2012-10-01
3238500.0,3388000.0,2628200.0,9273700.0,2012-11-01
3683471.0,3358800.0,2527700.0,9589900.0,2012-12-01
4251100.0,3475100.0,2597000.0,10345000.0,2013-01-01
4039800.0,3607700.0,2739000.0,10410013.0,2013-02-01
3616000.0,3355200.0,2595900.0,9587900.0,2013-03-01
3184700.0,3379800.0,2673900.0,9259400.0,2013-04-01
3070700.0,3505900.0,2738600.0,9335400.0,2013-05-01
3932700.0,3913700.0,2805700.0,10673000.0,2013-06-01
4640500.0,4106800.0,2802800.0,11571000.0,2013-07-01
4453700.0,4098800.0,2832500.0,11406000.0,2013-08-01
4047300.0,3946900.0,2767500.0,10783000.0,2013-09-01
3190100.0,3609900.0,2676800.0,9495800.0,2013-10-01
3263500.0,3446100.0,2654400.0,9383100.0,2013-11-01
4160200.0,3508500.0,2518300.0,10209000.0,2013-12-01
4726200.0,3673100.0,2585400.0,11008000.0,2014-01-01
4588400.0,3726900.0,2693300.0,11034000.0,2014-02-01
3684900.0,3450577.0,2598000.0,9754500.0,2014-03-01
3076300.0,3415300.0,2683500.0,9196500.0,2014-04-01
3088000.0,3537600.0,2754300.0,9400700.0,2014-05-01
3935000.0,3947400.0,2857000.0,10760000.0,2014-06-01
4420300.0,4046300.0,2852200.0,11339000.0,2014-07-01
4381600.0,4051700.0,2897000.0,11351000.0,2014-08-01
4024700.0,,2849600.0,10897000.0,2014-09-01
3162500.0,3645900.0,2741700.0,9570300.0,2014-10-01
3316200.0,3474800.0,2701500.0,9513800.0,2014-11-01
3896800.0,3486100.0,2584600.0,9987700.0,2014-12-01
4436500.0,3578700.0,2491700.0,10529000.0,2015-01-01
4420600.0,3768400.0,2661100.0,10875193.0,2015-02-01
3769900.0,3477000.0,2496600.0,9765400.0,2015-03-01
2997500.0,3465800.0,2601900.0,9085900.0,2015-04-01
3060100.0,3520200.0,2604400.0,9204500.0,2015-05-01
3997500.0,3970400.0,2792400.0,10780738.0,2015-06-01
4690900.0,4143500.0,2754843.0,11610000.0,2015-07-01
4648100.0,4141500.0,2770700.0,11581000.0,2015-08-01
4166400.0,4070500.0,2744700.0,11002000.0,2015-09-01
3196000.0,3637400.0,2610200.0,9464200.0,2015-10-01
3079400.0,3464700.0,2545900.0,9110300.0,2015-11-01
3581700.0,3429430.0,2449100.0,9480300.0,2015-12-01
4219200.0,3559200.0,2460900.0,10260000.0,2016-01-01
3997000.0,3563400.0,2561800.0,10145000.0,2016-02-01
,,2458700.0,9104900.0,2016-03-01
